pair_id,pair_label,variant,family,attack_family,attack_layer,attack_strength,prompt_id,donor_prompt_id,donor_source,attack_checkpoint,detected,localization_correct,first_mismatch_checkpoint,output_affecting_available,output_affecting,output_affecting_reason
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,layer_skip,material_tamper,,eval_012,eval_012,C1_to_C2,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,gaussian,statistical_tamper,0.15,eval_013,eval_013,gaussian_noise,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,same_prompt_old_run_replay,material_tamper,,eval_013,eval_013,same_stack_rerun,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,cross_prompt_stale_substitution,material_tamper,,eval_013,eval_012,same_stack_rerun,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,wrong_shard_output,material_tamper,,eval_013,eval_014,same_run_next_prompt,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,scale_perturbation,material_tamper,0.15,eval_013,eval_013,scale_delta,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,layer_skip,material_tamper,,eval_013,eval_013,C1_to_C2,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,gaussian,statistical_tamper,0.15,eval_014,eval_014,gaussian_noise,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,same_prompt_old_run_replay,material_tamper,,eval_014,eval_014,same_stack_rerun,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,cross_prompt_stale_substitution,material_tamper,,eval_014,eval_013,same_stack_rerun,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,wrong_shard_output,material_tamper,,eval_014,eval_015,same_run_next_prompt,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,scale_perturbation,material_tamper,0.15,eval_014,eval_014,scale_delta,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,layer_skip,material_tamper,,eval_014,eval_014,C1_to_C2,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,gaussian,statistical_tamper,0.15,eval_015,eval_015,gaussian_noise,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,same_prompt_old_run_replay,material_tamper,,eval_015,eval_015,same_stack_rerun,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,cross_prompt_stale_substitution,material_tamper,,eval_015,eval_014,same_stack_rerun,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,wrong_shard_output,material_tamper,,eval_015,eval_016,same_run_next_prompt,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,scale_perturbation,material_tamper,0.15,eval_015,eval_015,scale_delta,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,layer_skip,material_tamper,,eval_015,eval_015,C1_to_C2,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,gaussian,statistical_tamper,0.15,eval_016,eval_016,gaussian_noise,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,same_prompt_old_run_replay,material_tamper,,eval_016,eval_016,same_stack_rerun,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,cross_prompt_stale_substitution,material_tamper,,eval_016,eval_015,same_stack_rerun,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,wrong_shard_output,material_tamper,,eval_016,eval_017,same_run_next_prompt,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,scale_perturbation,material_tamper,0.15,eval_016,eval_016,scale_delta,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,layer_skip,material_tamper,,eval_016,eval_016,C1_to_C2,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,gaussian,statistical_tamper,0.15,eval_017,eval_017,gaussian_noise,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,same_prompt_old_run_replay,material_tamper,,eval_017,eval_017,same_stack_rerun,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,cross_prompt_stale_substitution,material_tamper,,eval_017,eval_016,same_stack_rerun,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,wrong_shard_output,material_tamper,,eval_017,eval_018,same_run_next_prompt,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,scale_perturbation,material_tamper,0.15,eval_017,eval_017,scale_delta,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,layer_skip,material_tamper,,eval_017,eval_017,C1_to_C2,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,gaussian,statistical_tamper,0.15,eval_018,eval_018,gaussian_noise,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,same_prompt_old_run_replay,material_tamper,,eval_018,eval_018,same_stack_rerun,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,cross_prompt_stale_substitution,material_tamper,,eval_018,eval_017,same_stack_rerun,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,wrong_shard_output,material_tamper,,eval_018,eval_019,same_run_next_prompt,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,scale_perturbation,material_tamper,0.15,eval_018,eval_018,scale_delta,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,layer_skip,material_tamper,,eval_018,eval_018,C1_to_C2,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,gaussian,statistical_tamper,0.15,eval_019,eval_019,gaussian_noise,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,same_prompt_old_run_replay,material_tamper,,eval_019,eval_019,same_stack_rerun,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,cross_prompt_stale_substitution,material_tamper,,eval_019,eval_018,same_stack_rerun,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,wrong_shard_output,material_tamper,,eval_019,eval_020,same_run_next_prompt,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,scale_perturbation,material_tamper,0.15,eval_019,eval_019,scale_delta,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,layer_skip,material_tamper,,eval_019,eval_019,C1_to_C2,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,gaussian,statistical_tamper,0.15,eval_020,eval_020,gaussian_noise,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,same_prompt_old_run_replay,material_tamper,,eval_020,eval_020,same_stack_rerun,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,cross_prompt_stale_substitution,material_tamper,,eval_020,eval_019,same_stack_rerun,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,wrong_shard_output,material_tamper,,eval_020,eval_021,same_run_next_prompt,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,scale_perturbation,material_tamper,0.15,eval_020,eval_020,scale_delta,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,layer_skip,material_tamper,,eval_020,eval_020,C1_to_C2,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,gaussian,statistical_tamper,0.15,eval_021,eval_021,gaussian_noise,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,same_prompt_old_run_replay,material_tamper,,eval_021,eval_021,same_stack_rerun,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,cross_prompt_stale_substitution,material_tamper,,eval_021,eval_020,same_stack_rerun,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,wrong_shard_output,material_tamper,,eval_021,eval_022,same_run_next_prompt,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,scale_perturbation,material_tamper,0.15,eval_021,eval_021,scale_delta,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,layer_skip,material_tamper,,eval_021,eval_021,C1_to_C2,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,gaussian,statistical_tamper,0.15,eval_022,eval_022,gaussian_noise,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,same_prompt_old_run_replay,material_tamper,,eval_022,eval_022,same_stack_rerun,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,cross_prompt_stale_substitution,material_tamper,,eval_022,eval_021,same_stack_rerun,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,wrong_shard_output,material_tamper,,eval_022,eval_023,same_run_next_prompt,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,scale_perturbation,material_tamper,0.15,eval_022,eval_022,scale_delta,C2,0,0,,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,layer_skip,material_tamper,,eval_022,eval_022,C1_to_C2,C2,1,1,C2,0,,no_logits_or_output_in_capture
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,scalar16,scalar,gaussian,statistical_tamper,0.15,eval_023,eval_023,gaussian_noise,C2,1,1,C2,0,,no_logits_or_output_in_capture
